id,title,authors,publication_year,journal_name,abstract,doi,url
1,Encouraging Undergraduate Student Experiential Learning through a Community-Based Fall Risk Assessment and Prevention Clinic,"Tyler A. Wood,K. Andrew R. Richards & Jacob J. Sosnoff",23 March 2020,International Journal of Kinesiology in Higher Education,"Community engagement provides kinesiology undergraduate students with valuable experience and allows for personal and professional growth. Kinesiology students often seek out opportunities that pertain to their future career goals. As many of them aspire to allied health professions, working with special populations is of interest, including individuals with movement impairments. As a result of their knowledge of movement and physical activity, kinesiology students are uniquely qualified to quantify and prevent adverse events due to movement impairment, including falls. The purpose of this article is to overview undergraduate students’ involvement in a community-based fall risk assessment and prevention clinic through the lens of experiential learning theory. Collectively, this type of program has the potential to enhance the undergraduates’ educational experience and preparation for their future careers while also enriching the community with fall prevention resources.",https://doi.org/10.1080/24711616.2020.1732249,https://www.tandfonline.com/doi/full/10.1080/24711616.2020.1732249
2,Research Culture: Virtual conferences raise standards for accessibility and interactions,Sarvenaz Sarabipour,"Nov 4, 2020",eLife,"Scientific conferences have an important role in the exchange of ideas and knowledge within the scientific community. Conferences also provide early-career researchers with opportunities to make themselves known within their field of research. Although the COVID-19 pandemic has brought traditional in-person conferences to a halt for the foreseeable future, the growth of virtual conferences has highlighted many of the disadvantages associated with the in-person format and demonstrated the advantages of moving these events online. Here, based on data from in-person and virtual conferences in a range of subjects, we describe how virtual conferences are more inclusive, more affordable, less time-consuming and more accessible worldwide, especially for early-career researchers. Making conferences more open and inclusive will provide both immediate and long-term benefits to the scientific community.",https://doi.org/10.7554/eLife.62668,https://elifesciences.org/articles/62668
3,"Career choice, growth and well-being of women entrepreneurs’ community: insights on driving factors in India","Jasmine Banu, Rupashree Baral ",14 September 2022,Journal of Enterprising Communities: People and Places in the Global Economy,"Purpose
This paper aims to explore the entrepreneurial journey of select women entrepreneurs from South India to provide qualitative insights into the factors influencing their career choice (to become and continue as an entrepreneur) and to identify the drivers of their growth and well-being.


Design/methodology/approach
Semi-structured interviews were conducted to gather data from 35 women entrepreneurs in the micro, small and medium enterprises sectors of Tamil Nadu, India. Data were content analyzed using NVivo 12.


Findings
Qualitative content analysis identified three broad themes and several sub-themes to suggest a conceptual framework reflecting the possible relationships among them. Women entrepreneurs’ career choice, the growth of their ventures and their well-being were found to be significantly driven by a blend of personal attributes, strong family support and institutional support.


Practical implications
The findings will help the government to provide appropriate institutional support with customized initiatives and incentives to encourage women-owned tiny and small businesses to grow faster. Appropriate personality development programs and skills training will aid their growth.


Originality/value
This study contributes to the entrepreneurship literature by providing real-life insights from women entrepreneurs from an emerging economy context, especially from Tamil Nadu, which has the highest number of women entrepreneurs in India.",https://doi.org/10.1108/JEC-12-2020-0206,https://www.emerald.com/insight/content/doi/10.1108/jec-12-2020-0206/full/html
4,Influential Pathways of Employees' Career Growth: Linkage of Psychological and Organizational Factors Based on Qualitative Comparative Analysis,"Bailin Ge, Zhiqiang Ma, Mingxing Li, Zeyu Li, Ling Yang, Tong Liu",2022 Jan 4,Frontiers in psychology,"Implementing the ""hierarchical diagnosis and treatment"" system highlights the important role of general practitioners as ""residents' health gatekeepers."" Still, the low level of career growth always limits the realization of their service value. Inertial thinking uses a single factor to explain the complexity of career growth in previous studies; in fact, it isn't easy to assess whether the factor is a sufficient and necessary condition for a high level of career growth. Herein, we have used a set theory perspective to analyze the mechanism of influencing high-level career growth by combining psychological and organizational factors. This research aims to analyze causal complexity relationship between these conditions and results is analyzed in detail. We choose fuzzy-set qualitative comparative analysis (fsQCA) with a sample of 407 GPs to test 5 antecedent conditional variables that can affect their career growth. The variables include professional identity, self-efficacy, achievement motivation, training mechanism, and incentive mechanism. To ensure the universality and diversity of data, the samples were selected from community medical institutions in different regions of China. The results show that three pathways can affect the high career growth of GPs, and the optimal pathway A2 is the linkage matching of high incentive mechanism, high professional identity, high achievement motivation, and high self-efficacy. At the same time, we find that professional identity plays an alternative role in the three pathways. When professional identity is at a high level, as long as achievement motivation and self-efficacy are superior, or achievement motivation, self-efficacy, and achievement motivation are superior, a high level of career growth can be achieved. We broke the shackles of previous studies that only focused on the impact of single factors on the career growth of GPs. From the perspective of set theory, we use configurational thinking to construct Influential pathways of high career growth of GPs by integrating antecedents. The results can provide effective support for improving GPs' service ability and realizing their service value to protect residents' health.",https://doi.org/10.3389/fpsyg.2021.796454,https://pubmed.ncbi.nlm.nih.gov/35058856/
5,Strategies for developing sustainable communities in higher education institutions,"Alberto Biancardi, Annarita Colasante, Idiano D’Adamo, Cinzia Daraio, Massimo Gastaldi & Antonio Felice Uricchio ",23 November 2023,Scientific Reports,"Higher education institutions (HEIs), based on learning, innovation, and research, can support the progress of civil society. Many HEIs are implementing sustainability practices and projects to counteract climate change, often involving youth participation. The present study aimed at identifying how sustainable communities may be fostered in a university setting. To that end, a questionnaire was administered to engineering students at the start and end of a course on energy issues, assessing their perceptions of sustainability using multi-criteria decision analysis. The results showed that students placed greater value on sustainability at the end of the course. Additionally, the findings highlight that the implementation of projects aimed at tackling real problems may be useful for disseminating knowledge and sustainable practices. The main implications of this study indicate that sustainable communities in academia lay on six foundational pillars: sustainable education, energy (and resource) independence, subsidies in support of the green economy, initiatives aimed at reducing the carbon footprint, energy community development, and new green professional opportunities.",https://doi.org/10.1038/s41598-023-48021-8,https://www.nature.com/articles/s41598-023-48021-8#citeas
6,The development of peer networks and academic performance in learning communities in higher education,"Jasperina Brouwer, 
Carlos A. de Matos Fernandes, 
Christian E.G. Steglich, 
Ellen P.W.A. Jansen, 
W.H. Adriaan Hofman, 
Andreas Flache",August 2022,Learning and Instruction,"In learning communities, students share their knowledge which might contribute to academic performance. This study disentangles peer selection from influence processes in modelling first-year students’ academic performance after the transition to university. Longitudinal peer network data were obtained from 95 bachelor students at two time points in a social sciences study programme with eight learning communities. Using co-evolution modelling in RSiena, we found that students help each other more often when they are already friends and students who help each other academically are more likely to become friends. The higher a student performs, the more often the student is selected as a friend or as an academic helper and the more often this higher-performing student initiates friendship and academic help relationships. Although learning communities are often implemented to enhance academic performance, we did not find evidence that peer relationships in learning communities influence academic performance.",https://doi.org/10.1016/j.learninstruc.2022.101603,https://www.sciencedirect.com/science/article/pii/S095947522200024X?via%3Dihub
7,Social Network Analysis: A Framework for Identifying Communities in Higher Education Online Learning,Shazia K. Jan & Panos Vlachopoulos ,16 July 2018,"Technology, Knowledge and Learning ","This paper presents the Integrated Methodological Framework (IMF) which uses social network analysis (SNA) to structurally identify communities in higher education online learning (HEOL). Decades of research speaks for the value of community-based learning albeit in traditional, blended, or online environments. The communities of practice (CoP) and community of inquiry (CoI) are well-established, empirically tested frameworks that have been effectively used for exploration of community-based learning in professional and educational contexts. Typically, research using these frameworks has required extensive qualitative analysis making it tedious and time-consuming. Pivoting on structural similarities between networks and communities, the IMF embeds SNA constructs in structural components of the CoP and CoI frameworks. By structurally identifying a CoP and CoI, the IMF allows targeted, selective qualitative analysis thus reducing the extent of qualitative analysis required previously in research using the CoP and CoI frameworks. Application of the IMF is demonstrated in a case study on an online blogging network. The study substantiates the IMF as an effective framework for structural identification of a CoP and CoI. The validity and robustness of the IMF is being further tested in ongoing research.",https://doi.org/10.1007/s10758-018-9375-y,https://link.springer.com/article/10.1007/s10758-018-9375-y#citeas
8,The growth and current state of learning communities in higher education,A. Love,1 December 2012,New Directions for Teaching and Learning,"Learning communities carry on a tradition of educational reform, resulting in improved student learning outcomes.",https://doi.org/10.1002/tl.20032,https://onlinelibrary.wiley.com/doi/10.1002/tl.20032
9,Communities of practice in higher education: contradictory narratives of a university-wide curriculum reform,Johanna Annala &Marita Mäkinen,2 November 2017,Studies in Higher Education,"This article presents an analysis of the experiences of scholars in a university-wide curriculum reform in one public research university. The focus is on the intentions and dynamics that shape the curriculum process in the local communities of practice (CoPs). The data, comprising interviews with 25 scholars, are examined as experience-centred narratives of curriculum change. Two distinct types of narrative – dialogical and reproductive – are found to reflect how the curriculum change was negotiated. In further analysis, Wenger's dimensions of CoPs, namely, mutual engagement, joint enterprise and shared repertoire, are used as a conceptual framework to identify the intentions and dynamics behind the narratives. The following dimensions emerged: (1) intending to cross borders versus maintaining prevailing traditions and positions; (2) attempting to find shared goals versus delaying or discontinuing the process and (3) having enough curiosity to familiarise oneself with the unfamiliar versus deprecating and rejecting it.",https://doi.org/10.1080/03075079.2015.1125877,https://www.tandfonline.com/doi/full/10.1080/03075079.2015.1125877
10,Value creation: What matters most in Communities of Learning Practice in higher education,"Filitsa Dingyloudi, J. Strijbos, M. Laat",1 September 2019,Studies in Educational Evaluation,"This study examines the phenomenon of value creation enabled by peers’ voluntary participation in Communities of Learning Practice (CoLPs) in higher education, with the aim to extract which experiences of learning community participation are considered valuable by learning community members. The participants were 27 international master students at a German university. Data were collected from participants’ written narratives-so called value creation stories. A systematic qualitative research approach was employed. Initially, we conducted a theory-driven content analysis to classify members’ attributed values. Subsequently, we performed an emergent data-driven thematic analysis to extrapolate the specifics of attributed values by participants. This study underscores the role of learning community members’ agency in value creation, by having community members, instead of external members, define value creation for themselves, as an individual and collective process and “outcome” enabled by participation in CoLPs.",https://doi.org/10.1016/j.stueduc.2019.05.006,https://www.sciencedirect.com/science/article/abs/pii/S0191491X18303146?via%3Dihub
